Country,Population
Afghanistan,38041757
Albania,2880913
Algeria,43053054
American Samoa,55312
Andorra,77146
Angola,31825299
Anguilla,14872
Antigua and Barbuda,97115
Argentina,44780675
Armenia,2957728
Aruba,106310
Australia,25203200
Austria,8955108
Azerbaijan,10047719
Bahamas,389486
Bahrain,1641164
Bangladesh,163046173
Barbados,287021
Belarus,9452409
Belgium,11539326
Belize,390351
Benin,11801151
Bermuda,62508
Bhutan,763094
Bolivia (Plurinational State of),11513102
Bosnia and Herzegovina,3300998
Botswana,2303703
Brazil,211049519
British Virgin Islands,30033
Brunei Darussalam,433296
Bulgaria,7000117
Burkina Faso,20321383
Burundi,11530577
Cabo Verde,549936
Cambodia,16486542
Cameroon,25876387
Canada,37411038
Caribbean Netherlands,25983
Cayman Islands,64948
Central African Republic,4745179
Chad,15946882
Channel Islands,172264
Chile,18952035
China,1433783692
Colombia,50339443
Comoros,850891
Congo,5380504
Cook Islands,17547
Costa Rica,5047561
Côte d'Ivoire,25716554
Croatia,4130299
Cuba,11333484
Curaçao,163423
Cyprus,1198574
Czechia,10689213
Dem. People's Republic of Korea,25666158
Democratic Republic of the Congo,86790568
Denmark,5771877
Djibouti,973557
Dominica,71808
Dominican Republic,10738957
Ecuador,17373657
Egypt,100388076
El Salvador,6453550
Equatorial Guinea,1355982
Eritrea,3497117
Estonia,1325649
Eswatini,1148133
Ethiopia,112078727
Falkland Islands (Malvinas),3372
Faroe Islands,48677
Fiji,889955
Finland,5532159
France,65129731
French Guiana,290823
French Polynesia,279285
Gabon,2172578
Gambia,2347696
Georgia,3996762
Germany,83517046
Ghana,30417858
Gibraltar,33706
Greece,10473452
Greenland,56660
Grenada,112002
Guadeloupe,400048
Guam,167295
Guatemala,17581476
Guinea,12771246
Guinea-Bissau,1920917
Guyana,782775
Haiti,11263079
Holy See,815
Honduras,9746115
Hong Kong SAR,7436157
Hungary,9684680
Iceland,339037
India,1366417756
Indonesia,270625567
Iran (Islamic Republic of),82913893
Iraq,39309789
Ireland,4882498
Isle of Man,84589
Israel,8519373
Italy,60550092
Jamaica,2948277
Japan,126860299
Jordan,10101697
Kazakhstan,18551428
Kenya,52573967
Kiribati,117608
Kuwait,4207077
Kyrgyzstan,6415851
Lao People's Democratic Republic,7169456
Latvia,1906740
Lebanon,6855709
Lesotho,2125267
Liberia,4937374
Libya,6777453
Liechtenstein,38020
Lithuania,2759631
Luxembourg,615730
Macao SAR,640446
Madagascar,26969306
Malawi,18628749
Malaysia,31949789
Maldives,530957
Mali,19658023
Malta,440377
Marshall Islands,58791
Martinique,375557
Mauritania,4525698
Mauritius,1269670
Mayotte,266153
Mexico,127575529
Micronesia (Fed. States of),113811
Monaco,38967
Mongolia,3225166
Montenegro,627988
Montserrat,4991
Morocco,36471766
Mozambique,30366043
Myanmar,54045422
Namibia,2494524
Nauru,10764
Nepal,28608715
Netherlands,17097123
New Caledonia,282757
New Zealand,4783062
Nicaragua,6545503
Niger,23310719
Nigeria,200963603
Niue,1614
North Macedonia,2083458
Northern Mariana Islands,57213
Norway,5378859
Oman,4974992
Pakistan,216565317
Palau,18001
Panama,4246440
Papua New Guinea,8776119
Paraguay,7044639
Peru,32510462
Philippines,108116622
Poland,37887771
Portugal,10226178
Puerto Rico,2933404
Qatar,2832071
Republic of Korea,51225321
Republic of Moldova,4043258
Réunion,888932
Romania,19364558
Russian Federation,145872260
Rwanda,12626938
Saint Barthélemy,9853
Saint Helena,6061
Saint Kitts and Nevis,52834
Saint Lucia,182795
Saint Martin (French part),38002
Saint Pierre and Miquelon,5821
Saint Vincent and the Grenadines,110593
Samoa,197093
San Marino,33864
Sao Tome and Principe,215048
Saudi Arabia,34268529
Senegal,16296362
Serbia,8772228
Seychelles,97741
Sierra Leone,7813207
Singapore,5804343
Sint Maarten (Dutch part),42389
Slovakia,5457012
Slovenia,2078654
Solomon Islands,669821
Somalia,15442906
South Africa,58558267
South Sudan,11062114
Spain,46736782
Sri Lanka,21323734
State of Palestine,4981422
Sudan,42813237
Suriname,581363
Sweden,10036391
Switzerland,8591361
Syrian Arab Republic,17070132
Taiwan Province of China,23773881
Tajikistan,9321023
Thailand,69625581
Timor-Leste,1293120
Togo,8082359
Tokelau,1330
Tonga,104497
Trinidad and Tobago,1394969
Tunisia,11694721
Turkey,83429607
Turkmenistan,5942094
Turks and Caicos Islands,38194
Tuvalu,11655
Uganda,44269587
Ukraine,43993643
United Arab Emirates,9770526
United Kingdom,67530161
United Republic of Tanzania,58005461
United States of America,329064917
United States Virgin Islands,104579
Uruguay,3461731
Uzbekistan,32981715
Vanuatu,299882
Venezuela (Bolivarian Republic of),28515829
Viet Nam,96462108
Wallis and Futuna Islands,11436
Western Sahara,582458
Yemen,29161922
Zambia,17861034
Zimbabwe,14645473
